Student_ID,Gender,Age,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Previous_Score,Final_Score,Performance_Category,Average_Subject_Score,Attendance_Category,Study_Level
1,Male,21,5.4,60.9,66,91,64,61,70.41,Good,73.67,Moderate,High
2,Female,21,3.3,97.5,45,100,91,46,74.93,Good,78.67,Excellent,Moderate
3,Male,17,5.1,89.3,44,50,81,51,48.36,Average,58.33,Good,High
4,Male,19,9.8,54.5,91,85,69,40,75.51,Good,81.67,Low,Very High
5,Male,18,5.4,70.9,59,73,53,39,61.21,Good,61.67,Moderate,High
6,Female,17,4.0,94.0,36,74,42,91,53.6,Average,50.67,Excellent,Moderate
7,Male,18,6.7,97.2,98,72,60,62,80.22,Excellent,76.67,Excellent,High
8,Male,22,3.2,73.4,69,94,64,93,74.42,Good,75.67,Moderate,Moderate
9,Male,18,1.7,80.7,41,93,41,67,66.39,Good,58.33,Good,Low
10,Female,19,2.2,58.4,52,44,99,96,69.23,Good,65.0,Low,Moderate
11,Male,22,2.2,99.6,76,98,70,84,78.9,Good,81.33,Excellent,Moderate
12,Male,18,2.4,61.6,73,97,59,53,70.01,Good,76.33,Moderate,Moderate
13,Male,22,2.2,97.1,75,83,71,100,77.96,Good,76.33,Excellent,Moderate
14,Male,18,6.8,82.5,58,98,35,81,66.84,Good,63.67,Good,High
15,Female,19,2.6,80.4,94,66,49,73,71.92,Good,69.67,Good,Moderate
16,Male,18,4.1,75.6,80,41,71,67,61.73,Good,64.0,Good,Moderate
17,Female,18,9.1,61.5,53,55,47,47,49.93,Average,51.67,Moderate,Very High
18,Female,18,5.3,58.8,76,54,42,88,64.52,Good,57.33,Low,High
19,Female,17,7.0,61.0,66,60,39,41,58.82,Average,55.0,Moderate,High
20,Male,17,2.6,59.3,73,49,94,48,61.76,Good,72.0,Low,Moderate
21,Female,17,2.7,89.0,70,48,35,53,59.13,Average,51.0,Good,Moderate
22,Male,19,1.4,67.5,70,61,70,88,63.97,Good,67.0,Moderate,Low
23,Female,22,2.5,52.9,37,74,69,54,56.35,Average,60.0,Low,Moderate
24,Female,21,3.5,98.5,42,92,100,63,76.78,Good,78.0,Excellent,Moderate
25,Female,18,2.6,94.2,75,62,97,58,73.79,Good,78.0,Excellent,Moderate
26,Female,18,1.8,96.4,47,60,57,97,62.56,Good,54.67,Excellent,Low
27,Female,19,2.1,99.7,83,97,43,91,75.8,Good,74.33,Excellent,Moderate
28,Female,18,5.1,58.7,94,100,68,42,78.63,Good,87.33,Low,High
29,Female,17,2.9,69.8,36,59,80,96,58.76,Average,58.33,Moderate,Moderate
30,Female,21,4.3,87.9,94,37,38,63,59.3,Average,56.33,Good,Moderate
31,Male,20,5.5,84.8,39,78,64,51,59.62,Average,60.33,Good,High
32,Male,18,7.2,57.7,78,76,37,100,62.98,Good,63.67,Low,High
33,Female,17,1.4,90.8,61,40,48,40,49.72,Average,49.67,Excellent,Low
34,Female,20,8.2,61.2,66,73,94,92,75.13,Good,77.67,Moderate,Very High
35,Female,21,6.7,61.2,55,86,79,62,68.45,Good,73.33,Moderate,High
36,Male,20,1.7,76.8,42,57,68,96,57.61,Average,55.67,Good,Low
37,Female,17,8.9,79.6,84,84,79,75,81.66,Excellent,82.33,Good,Very High
38,Male,22,9.3,79.0,78,77,95,75,83.62,Excellent,83.33,Good,Very High
39,Male,22,1.5,54.6,92,53,50,83,68.86,Good,65.0,Low,Low
40,Male,20,3.5,93.9,37,85,100,83,69.19,Good,74.0,Excellent,Moderate
41,Male,19,8.3,63.3,36,45,74,37,46.22,Average,51.67,Moderate,Very High
42,Male,20,7.7,56.5,78,46,51,44,54.83,Average,58.33,Low,High
43,Female,18,2.7,94.4,36,42,68,69,50.64,Average,48.67,Excellent,Moderate
44,Female,18,2.9,97.8,69,58,50,36,58.62,Average,59.0,Excellent,Moderate
45,Female,22,4.3,93.1,64,75,94,58,70.93,Good,77.67,Excellent,Moderate
46,Female,19,5.4,90.5,42,70,100,72,63.87,Good,70.67,Excellent,High
47,Female,17,6.6,82.8,56,89,100,56,74.41,Good,81.67,Good,High
48,Male,18,4.3,77.5,78,43,47,60,60.18,Good,56.0,Good,Moderate
49,Female,22,5.2,54.3,92,81,90,77,83.96,Excellent,87.67,Low,High
50,Female,21,7.7,70.4,70,49,65,89,63.81,Good,61.33,Moderate,High
51,Male,22,1.3,68.6,65,82,68,73,66.76,Good,71.67,Moderate,Low
52,Female,18,3.3,63.0,81,76,73,63,68.44,Good,76.67,Moderate,Moderate
53,Male,18,7.4,86.2,89,94,42,54,76.19,Good,75.0,Good,High
54,Female,22,9.1,74.8,96,46,89,75,74.24,Good,77.0,Moderate,Very High
55,Male,17,5.6,54.1,64,36,61,88,59.7,Average,53.67,Low,High
56,Female,20,5.8,61.0,89,41,87,54,61.61,Good,72.33,Moderate,High
57,Female,18,2.0,84.2,50,37,73,53,52.13,Average,53.33,Good,Low
58,Male,22,5.0,53.8,46,37,99,100,61.93,Good,60.67,Low,Moderate
59,Male,22,5.8,92.6,51,61,51,64,60.05,Good,54.33,Excellent,High
60,Male,19,3.2,74.8,50,74,64,87,74.85,Good,62.67,Moderate,Moderate
61,Male,20,3.4,74.0,46,67,87,68,65.25,Good,66.67,Moderate,Moderate
62,Male,21,4.4,79.6,42,35,47,56,42.49,Average,41.33,Good,Moderate
63,Male,17,1.2,91.2,37,42,55,40,45.94,Average,44.67,Excellent,Low
64,Male,21,3.9,67.4,50,66,53,61,49.79,Average,56.33,Moderate,Moderate
65,Male,20,2.9,83.9,64,82,87,44,71.02,Good,77.67,Good,Moderate
66,Female,20,3.9,78.3,57,38,53,82,51.85,Average,49.33,Good,Moderate
67,Female,20,2.1,63.4,39,53,91,93,63.5,Good,61.0,Moderate,Moderate
68,Male,21,9.0,93.9,99,66,59,93,78.99,Good,74.67,Excellent,Very High
